date,time,location,redsox_game,attendance
3/31/14,2:53,@,1,46685
4/2/14,2:43,@,1,25708
4/3/14,2:55,@,1,20880
4/4/14,3:19,,1,36728
4/5/14,4:23,,1,35729
4/6/14,2:57,,1,35958
4/7/14,3:07,,1,35842
4/8/14,3:11,,1,34142
4/9/14,2:57,,1,33585
4/10/14,2:55,@,1,42821
4/11/14,3:01,@,1,44121
4/12/14,3:07,@,1,48572
4/13/14,3:08,@,1,46081
4/15/14,3:36,@,1,13402
4/16/14,5:17,@,1,13302
4/17/14,2:54,@,1,17454
4/18/14,3:26,,1,36408
4/19/14,2:47,,1,37689
4/20/14,3:32,,1,33947
4/21/14,3:18,,1,37513
4/22/14,3:17,,1,37041
4/23/14,3:12,,1,37015
4/24/14,3:51,,1,37356
4/25/14,2:57,@,1,29411
4/26/14,3:23,@,1,40322
4/27/14,2:28,@,1,45260
4/29/14,3:40,,1,34794
5/1/14,3:27,,1,35621
5/1/14,3:44,,1,33465
5/2/14,3:37,,1,34850
5/3/14,2:44,,1,37042
5/4/14,3:45,,1,35649
5/6/14,4:04,,1,36004
5/7/14,2:47,,1,37072
5/9/14,3:10,@,1,45392
5/10/14,3:09,@,1,47964
5/11/14,2:47,@,1,41407
5/13/14,3:25,@,1,23949
5/14/14,3:07,@,1,26802
5/15/14,3:21,@,1,29628
5/16/14,3:14,,1,37225
5/17/14,2:49,,1,37608
5/18/14,3:19,,1,35006
5/20/14,3:17,,1,37904
5/21/14,3:23,,1,36116
5/22/14,2:58,,1,36018
5/23/14,3:25,@,1,20898
5/24/14,5:16,@,1,23569
5/25/14,3:27,@,1,26199
5/26/14,3:40,@,1,48501
5/27/14,3:32,@,1,37168
5/28/14,3:09,,1,36189
5/29/14,3:00,,1,36292
5/30/14,3:55,,1,35820
5/31/14,3:07,,1,37076
6/1/14,3:12,,1,37688
6/2/14,2:21,@,1,14078
6/3/14,3:09,@,1,18738
6/4/14,4:29,@,1,20209
6/6/14,2:49,@,1,39762
6/7/14,3:36,@,1,43359
6/8/14,3:35,@,1,33835
6/9/14,2:21,@,1,19729
6/10/14,2:32,@,1,24184
6/11/14,2:49,@,1,25886
6/12/14,3:08,,1,37750
6/13/14,3:13,,1,35772
6/14/14,3:24,,1,37181
6/15/14,4:03,,1,37356
6/16/14,2:45,,1,35693
6/17/14,2:48,,1,36835
6/18/14,2:31,,1,36489
6/19/14,2:39,@,1,24371
6/20/14,3:21,@,1,28602
6/21/14,3:04,@,1,32873
6/22/14,3:22,@,1,36067
6/23/14,2:57,@,1,26860
6/24/14,3:14,@,1,20015
6/25/14,2:40,@,1,27333
6/27/14,2:42,@,1,48522
6/28/14,2:47,@,1,48433
6/29/14,3:38,@,1,48124
6/30/14,2:59,,1,37814
7/1/14,3:35,,1,36748
7/2/14,4:19,,1,37055
7/5/14,2:40,,1,35714
7/5/14,3:36,,1,36468
7/6/14,5:05,,1,35811
7/7/14,2:55,,1,35114
7/8/14,3:11,,1,35345
7/9/14,2:54,,1,36218
7/10/14,3:22,,1,37547
7/11/14,3:27,@,1,27264
7/12/14,3:06,@,1,26322
7/13/14,3:23,@,1,20681
7/18/14,3:31,,1,37743
7/19/14,2:39,,1,37878
7/20/14,2:56,,1,37439
7/21/14,2:45,@,1,27905
7/22/14,3:07,@,1,29269
7/23/14,2:35,@,1,35696
7/24/14,2:56,@,1,46683
7/25/14,3:04,@,1,23136
7/26/14,3:23,@,1,26659
7/27/14,3:22,@,1,25221
7/28/14,3:15,,1,37974
7/29/14,3:03,,1,38275
7/30/14,2:48,,1,38203
8/1/14,3:03,,1,37782
8/2/14,3:56,,1,37302
8/3/14,3:42,,1,38035
8/5/14,3:04,@,1,43432
8/6/14,3:01,@,1,42733
8/7/14,3:08,@,1,44570
8/8/14,3:10,@,1,38016
8/9/14,6:32,@,1,42159
8/10/14,3:03,@,1,36300
8/12/14,3:05,@,1,35903
8/13/14,3:01,@,1,32870
8/14/14,3:19,,1,38065
8/15/14,3:46,,1,37016
8/16/14,3:50,,1,37652
8/17/14,3:11,,1,36717
8/18/14,3:22,,1,35170
8/19/14,3:24,,1,35471
8/20/14,3:42,,1,35136
8/21/14,3:10,,1,36160
8/22/14,3:41,,1,36433
8/23/14,3:28,,1,36905
8/24/14,4:07,,1,37022
8/25/14,3:07,@,1,26041
8/26/14,4:33,@,1,27321
8/27/14,2:38,@,1,30285
8/29/14,3:34,@,1,16107
8/30/14,2:48,@,1,17463
8/31/14,2:52,@,1,16822
9/1/14,3:32,@,1,10543
9/2/14,3:28,@,1,40334
9/3/14,3:12,@,1,40007
9/4/14,3:16,@,1,44708
9/5/14,3:53,,1,35667
9/6/14,3:23,,1,36677
9/7/14,2:44,,1,36261
9/8/14,3:08,,1,35894
9/9/14,3:32,,1,37008
9/10/14,3:23,,1,35374
9/11/14,3:28,@,1,28673
9/12/14,2:49,@,1,19191
9/13/14,2:48,@,1,26627
9/14/14,3:23,@,1,19065
9/16/14,3:07,@,1,34698
9/17/14,3:04,@,1,34785
9/18/14,2:53,@,1,36862
9/19/14,3:42,@,1,39079
9/20/14,2:51,@,1,43015
9/21/14,3:07,@,1,38329
9/23/14,3:14,,1,35566
9/24/14,3:40,,1,35741
9/25/14,3:16,,1,36590
9/26/14,3:01,,1,37605
9/27/14,3:04,,1,37147
9/28/14,3:14,,1,36879
