Date,recess,school_holiday
1/1/14,Winter Recess,1
1/2/14,Winter Recess,1
1/3/14,Winter Recess,1
1/4/14,Winter Recess,1
2/16/14,February Recess,1
2/17/14,February Recess,1
2/18/14,February Recess,1
2/19/14,February Recess,1
2/20/14,February Recess,1
4/20/14,Spring Recess,1
4/21/14,Spring Recess,1
4/22/14,Spring Recess,1
4/23/14,Spring Recess,1
4/24/14,Spring Recess,1
11/28/14,Thanksgiving Recess,1
12/24/14,Winter Recess,1
12/25/14,Winter Recess,1
12/26/14,Winter Recess,1
12/27/14,Winter Recess,1
12/28/14,Winter Recess,1
12/29/14,Winter Recess,1
12/30/14,Winter Recess,1
12/31/14,Winter Recess,1
